DRCOV VERSION: 3
DRCOV FLAVOR: drcov
Module Table: version 5, count 12
Columns: id, containing_id, start, end, entry, offset, preferred_base, checksum, timestamp, path
  0,   0, 0x00ce0000, 0x00cf3000, 0x00ce12a0, 0000000000000000, 0x00ce0000, 0x00018f15, 0x56e72fdb,  B:\mbks\python_2_lab\exe\vuln13.exe
  1,   1, 0x62500000, 0x6250b000, 0x62501060, 0000000000000000, 0x62500000, 0x00002c75, 0x56e72fd2,  B:\mbks\python_2_lab\exe\func.dll
  2,   2, 0x70010000, 0x70186000, 0x700965e0, 0000000000000000, 0x70010000, 0x00145145, 0x64de8be2,  C:\Users\max\Downloads\DynamoRIO-Windows-10.0.0/lib32\release\dynamorio.dll
  3,   3, 0x71670000, 0x7167c000, 0x71670000, 0000000000000000, 0x71670000, 0x00000000, 0x64de8c47,  C:\Users\max\Downloads\DynamoRIO-Windows-10.0.0/ext\lib32\release/drmgr.dll
  4,   4, 0x71680000, 0x7168b000, 0x71680000, 0000000000000000, 0x71680000, 0x00000000, 0x64de8c4a,  C:\Users\max\Downloads\DynamoRIO-Windows-10.0.0/ext\lib32\release/drreg.dll
  5,   5, 0x71690000, 0x7169f000, 0x71690000, 0000000000000000, 0x71690000, 0x00000000, 0x64de8c4b,  C:\Users\max\Downloads\DynamoRIO-Windows-10.0.0/ext\lib32\release/drx.dll
  6,   6, 0x716a0000, 0x716a9000, 0x716a0000, 0000000000000000, 0x716a0000, 0x00000000, 0x64de8c5e,  C:\Users\max\Downloads\DynamoRIO-Windows-10.0.0/ext\lib32\release/drcovlib.dll
  7,   7, 0x74ea0000, 0x74ea6000, 0x74ea0000, 0000000000000000, 0x74ea0000, 0x00000000, 0x64de8c60,  C:\Users\max\Downloads\DynamoRIO-Windows-10.0.0\tools\lib32\release\drcov.dll
  8,   8, 0x75590000, 0x75680000, 0x755af8e0, 0000000000000000, 0x75590000, 0x0009ff17, 0x0dbcd887,  C:\Windows\System32\KERNEL32.DLL
  9,   9, 0x761b0000, 0x763ef000, 0x762c94c0, 0000000000000000, 0x761b0000, 0x0024d6ee, 0x2fff1323,  C:\Windows\System32\KERNELBASE.dll
 10,  10, 0x765c0000, 0x7667f000, 0x765f5ac0, 0000000000000000, 0x765c0000, 0x000be48c, 0x7e27562f,  C:\Windows\System32\msvcrt.dll
 11,  11, 0x77690000, 0x77834000, 0x77690000, 0000000000000000, 0x77690000, 0x001ab22e, 0xaabba71d,  C:\Windows\SYSTEM32\ntdll.dll
BB Table: 5881 bbs
module id, start, size:
module[ 11]: 0x000755e0,   9
module[ 11]: 0x000755f7,  13
module[ 11]: 0x00068083,  16
module[ 11]: 0x000680e0,  14
module[ 11]: 0x000680ee,  26
module[ 11]: 0x00068108,  18
module[ 11]: 0x00068093,  11
module[ 11]: 0x0006809f,  12
module[ 11]: 0x00088354,  69
module[ 11]: 0x000680ab,  21
module[ 11]: 0x000680c0,   8
module[ 11]: 0x0006ded0,   3
module[ 11]: 0x000680c8,   6
module[  8]: 0x0001fcb0,  12
module[  8]: 0x0001fcbc,  11
module[  8]: 0x00022a00,   3
module[  8]: 0x0001fcc7,   2
module[  0]: 0x000012a0,  16
module[ 10]: 0x00057540,  13
module[ 10]: 0x0005ca50,  13
module[  9]: 0x001109c0,  14
module[  9]: 0x00110a14,  11
module[  9]: 0x00110a07,   4
module[ 10]: 0x0005ca5d,   4
module[ 10]: 0x0005ca61,   6
module[ 10]: 0x0005c9dc,  12
module[ 10]: 0x0005cc04,  69
module[ 10]: 0x0005c9e8,   9
module[ 10]: 0x0005c9f1,   5
module[ 10]: 0x0005c9f6,  13
module[ 10]: 0x0005ca03,   7
module[ 10]: 0x0005ca0a,   8
module[ 10]: 0x0005ca12,  23
module[ 10]: 0x0005ca32,  30
module[ 10]: 0x0005ca67,   4
module[ 10]: 0x0005ca6b,  12
module[ 10]: 0x0005ca77,   5
module[ 10]: 0x0005ca7c,   5
module[ 10]: 0x0005754d,   8
module[  0]: 0x000012b0,   5
module[  0]: 0x00001180,  16
module[  0]: 0x00001190,  25
module[  0]: 0x00001ca0,  18
module[  0]: 0x00001cbc,   5
module[  0]: 0x00001cd3,  18
module[  0]: 0x00001cc6,  13
module[  0]: 0x000011a9,  15
module[  0]: 0x00008438,   6
module[  8]: 0x000219c0,  12
module[  9]: 0x0013c940,  28
module[  9]: 0x0013c95c,  11
module[  9]: 0x0013ca41,  29
module[  9]: 0x0013cad0,  30
module[ 11]: 0x00073230,  12
module[ 11]: 0x0007323c,   3
module[  9]: 0x0013caee,   8
module[  9]: 0x0013caf6,   7
module[  9]: 0x0013ca5e,   4
module[  9]: 0x0013ca62,   6
module[  9]: 0x0013ca68,   4
module[  9]: 0x0013ca6c,  20
module[  9]: 0x0013ca80,   4
module[  9]: 0x0013ca84,  25
module[  9]: 0x0013ca9d,  21
module[  9]: 0x0013cab2,   8
module[  9]: 0x0013caba,   8
module[  9]: 0x0013c967,  12
module[  9]: 0x0013c973,  10
module[  9]: 0x0013c97d,  31
